channel_handle,channel_name,channel_url,grade,analyzed,video_count,midform_ratio,shortform_ratio,longform_ratio,median_views,videos_analyzed,last_scanned_at,status,notes,priority
@AryaNwadiora,Arya Nwadiora,https://www.youtube.com/@AryaNwadiora/videos,미분석,no,1,0,0,0,0,0,,unused,,
@CutVerge,Cut Verge,https://www.youtube.com/@CutVerge/videos,미분석,no,11,0,0,0,0,0,,unused,,
@LADDER_MOVIE-HA1,Ladder_Movie,https://www.youtube.com/@LADDER_MOVIE-HA1/videos,A,yes,2,0.98,0,0.02,47151,50,2026-07-04,unused,,high
@witnessfun,Witnessfun,https://www.youtube.com/@witnessfun/videos,미분석,no,3,0,0,0,0,0,,unused,,
@AmandaPatterson-m5y,CineFlow,https://www.youtube.com/@AmandaPatterson-m5y/videos,미분석,no,2,0,0,0,0,0,,unused,,
@PixelDrift-f3c,Pixel Drift,https://www.youtube.com/@PixelDrift-f3c/videos,미분석,no,4,0,0,0,0,0,,unused,,
@danieljo9473,Daniel Jo,https://www.youtube.com/@danieljo9473/videos,미분석,no,1,0,0,0,0,0,,unused,,
@JohnVarner-v5l,Moodara,https://www.youtube.com/@JohnVarner-v5l/videos,미분석,no,1,0,0,0,0,0,,unused,,
@Nirakhan-h7n,Nira khan,https://www.youtube.com/@Nirakhan-h7n/videos,미분석,no,1,0,0,0,0,0,,unused,,
@Zhiwangmovie,Zhiwang,https://www.youtube.com/@Zhiwangmovie/videos,미분석,no,44,0,0,0,0,0,,unused,,
@CorvintheCine,Corvinthe Cine,https://www.youtube.com/@CorvintheCine/videos,X,yes,2,0,0,1,152,24,2026-06-29,unused,,low
@FoxHuntingMovie,Fox Hunting Movie,https://www.youtube.com/@FoxHuntingMovie/videos,미분석,no,1,0,0,0,0,0,,unused,,
@EditChantith,Edit Chantith,https://www.youtube.com/@EditChantith/videos,미분석,no,1,0,0,0,0,0,,unused,,
@DorthaMatthews,Pixel Forge,https://www.youtube.com/@DorthaMatthews/videos,미분석,no,3,0,0,0,0,0,,unused,,
@SittiJalbani,Sitti Jalbani,https://www.youtube.com/@SittiJalbani/videos,미분석,no,1,0,0,0,0,0,,unused,,
@MoviemomentsTv-e3t,MovieMoments Tv,https://www.youtube.com/@MoviemomentsTv-e3t/videos,미분석,no,2,0,0,0,0,0,,unused,,
@warworld10,warworld10,https://www.youtube.com/@warworld10/videos,미분석,no,1,0,0,0,0,0,,unused,,
@Shortsfilm-h7k,Shortsfilm,https://www.youtube.com/@Shortsfilm-h7k/videos,B,yes,1,1,0,0,266,23,2026-06-14,unused,,medium
@LemonKittyCat2.0,LemonKittyCat2.0,https://www.youtube.com/@LemonKittyCat2.0/videos,미분석,no,1,0,0,0,0,0,,unused,,
@MovieMolecule-k1l,Movie Molecule,https://www.youtube.com/@MovieMolecule-k1l/videos,미분석,no,1,0,0,0,0,0,,unused,,
@BeatOverdrive,BeatOverdrive,https://www.youtube.com/@BeatOverdrive/videos,미분석,no,1,0,0,0,0,0,,unused,,
@SusanHerrera-f1m,ReelGlow,https://www.youtube.com/@SusanHerrera-f1m/videos,미분석,no,1,0,0,0,0,0,,unused,,
@meetsstar,meetsstar,https://www.youtube.com/@meetsstar/videos,B,yes,1,0.7619,0,0.2381,139,42,2026-07-02,unused,,medium
@TheTVLounge-z7h,The TV Lounge,https://www.youtube.com/@TheTVLounge-z7h/videos,미분석,no,1,0,0,0,0,0,,unused,,
@PassionateFilms-u3t,Passionate Films,https://www.youtube.com/@PassionateFilms-u3t/videos,B,yes,1,0.675,0,0.325,133,40,2026-07-07,unused,,medium
@Moviq-l4d,Moviq,https://www.youtube.com/@Moviq-l4d/videos,미분석,no,1,0,0,0,0,0,,unused,,
@FableNightshade,Fable Nightshade,https://www.youtube.com/@FableNightshade/videos,B,yes,7,1,0,0,1439,17,2026-06-26,used,,medium
@rashednur3388,Jacob Phaky,https://www.youtube.com/@rashednur3388/videos,미분석,no,1,0,0,0,0,0,,unused,,
@PulseFrameEdits528,PulseFrameEdits,https://www.youtube.com/@PulseFrameEdits528/videos,미분석,no,1,0,0,0,0,0,,unused,,
@GaryBullock-t9e,Reelune,https://www.youtube.com/@GaryBullock-t9e/videos,미분석,no,1,0,0,0,0,0,,unused,,
@NgamshishiSA,Ngamshishi,https://www.youtube.com/@NgamshishiSA/videos,미분석,no,2,0,0,0,0,0,,unused,,
@WarmFrame-f9j,WarmFrame,https://www.youtube.com/@WarmFrame-f9j/videos,미분석,no,1,0,0,0,0,0,,unused,,
@LaghariAnime,Laghari Anime,https://www.youtube.com/@LaghariAnime/videos,미분석,no,1,0,0,0,0,0,,unused,,
@CineGate-q5s,Cine Gate,https://www.youtube.com/@CineGate-q5s/videos,미분석,no,3,0,0,0,0,0,,unused,,
@JeffreyOxendine-v3f,Edicube,https://www.youtube.com/@JeffreyOxendine-v3f/videos,미분석,no,1,0,0,0,0,0,,unused,,
